job_id,job_title,company,location,experience,salary,skills,job_type,posted_date,job_url,scraped_at
e26b8cb3372e,Data Scientist - 23 Feb (Sat)-Weekend Virtual Interview - Pan India,Tata Consultancy Services,"India, Bengaluru, Delhi / NCR",6 Yrs,,Data Science | Python | SQL | Machine Learning | Science | Interviewing | SAT | Machine,,1 day ago,https://www.naukri.com/job-listings-data-scientist-23-feb-sat-weekend-virtual-interview-pan-india-tata-consultancy-services-bengaluru-delhi-ncr-india-6-to-6-years-210526004106,2026-06-03T20:30:52.156457
48baa14548c5,Data Scientist-Artificial Intelligence,IBM,Bengaluru,3-7 Yrs,,data scientist | python | ai solutions | ai frameworks | ai | cloud platforms | machine learning | artificial intelligence,,Few hours ago,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-3-to-7-years-030626928132,2026-06-03T20:30:52.158484
c2155c81b14e,Data Scientist- Gen AI,Fractal Analytics,"Noida, Mumbai, Hyderabad, Pune, Chennai, Gurugram, Bengaluru",1-6 Yrs,,Computer vision | GIT | GCP | Analytical | Django | Software development life cycle | Workflow | Application development,,1 day ago,https://www.naukri.com/job-listings-data-scientist-gen-ai-fractal-analytics-ltd-noida-mumbai-hyderabad-pune-chennai-gurugram-bengaluru-1-to-6-years-020626500303,2026-06-03T20:30:52.159484
a289f06c328b,Data Scientist (ML/AI),Philips,Bengaluru,5-10 Yrs,,time series analysis | python | scikit-learn | mathematics | microsoft azure | machine learning | artificial intelligence | sql,,1 day ago,https://www.naukri.com/job-listings-data-scientist-ml-ai-philips-india-limited-bengaluru-5-to-10-years-020626502504,2026-06-03T20:30:52.160506
8126f0dbe50c,Data Scientist /AI ML Engineer,Globallogic,Bengaluru,5-10 Yrs,,hive | fundamentals | cursor | algorithms | data warehousing | data pipeline | artificial intelligence | sql,,1 day ago,https://www.naukri.com/job-listings-data-scientist-ai-ml-engineer-globallogic-bengaluru-5-to-10-years-020626016711,2026-06-03T20:30:52.162484
60ae73ea47a6,Data Scientist IV,Conduent,Bengaluru,12-17 Yrs,,Data Scientist | Azure | Architecture | Sql Server | Hadoop | Cloud Architecture | Data Quality Management | Vmware,,2 days ago,https://www.naukri.com/job-listings-data-scientist-iv-conduent-business-services-india-llp-bengaluru-12-to-17-years-010626921451,2026-06-03T20:30:52.163484
e89c6543d85a,Data Scientist,Apple,Hyderabad,0-8 Yrs,,RCA | Statistical analysis | data science | Data modeling | Analytical | market data | Predictive modeling | Service sales,,3+ weeks ago,https://www.naukri.com/job-listings-data-scientist-apple-india-pvt-ltd-hyderabad-0-to-8-years-250226504348,2026-06-03T20:31:05.328548
8d3ebbc6442c,Data Scientist,HCLTech,Hyderabad,5-10 Yrs,,Artificial Intelligence | Machine Learning | Python | Machine | Data | Intelligence,,1 week ago,https://www.naukri.com/job-listings-data-scientist-hcltech-hyderabad-5-to-10-years-130526042098,2026-06-03T20:31:05.332712
235d0334dac1,Senior Analyst/Data Scientist-GenAI,Tiger Analytics,"Hybrid - Hyderabad, Chennai, Bengaluru",4-9 Yrs,,Data Science | Generative Ai | Artificial Intelligence | Natural Language Processing | Machine Learning | PERT | Lora | QLORA,,1 week ago,https://www.naukri.com/job-listings-senior-analyst-data-scientist-genai-tiger-analytics-hyderabad-chennai-bengaluru-4-to-9-years-011125009365,2026-06-03T20:31:05.371585
41d5099e8c4d,Data Scientist (Computer Vision),Scry Analytics,Hyderabad,3-6 Yrs,,Computer vision | deep learning | Backend | Retail analytics | orchestration | Compliance | Opencv | RTSP,,3+ weeks ago,https://www.naukri.com/job-listings-data-scientist-computer-vision-scry-analytics-hyderabad-3-to-6-years-060326504690,2026-06-03T20:31:05.373892
09017b8171e4,Data Scientist,Tata Consultancy Services,"Hyderabad, Chennai",5-10 Yrs,,Artificial Intelligence | Machine Learning | Python | Natural Language Processing | Ml | Process | Languages | Machine,,1 week ago,https://www.naukri.com/job-listings-data-scientist-tata-consultancy-services-hyderabad-chennai-5-to-10-years-260326026450,2026-06-03T20:31:05.374891
466ec61b1cf3,Data Scientist,Amgen Inc,Hyderabad,3-5 Yrs,,data cleansing | Data analysis | Automation | SAS | Analytical | Trend analysis | Machine learning | SPSS,,3+ weeks ago,https://www.naukri.com/job-listings-data-scientist-horizon-therapeutics-hyderabad-3-to-5-years-300925500247,2026-06-03T20:31:05.376889
97d36ffd2198,Data Scientist,Varite,Hybrid - Hyderabad,5-8 Yrs,,Data Scientist | Tensorflow | Pytorch | Natural Language Processing | Machine Learning | Deep Learning | Scikit-Learn | Python,,1 day ago,https://www.naukri.com/job-listings-data-scientist-varite-hyderabad-5-to-8-years-020626022630,2026-06-03T20:31:05.377893
8d5233d3a81b,Data Scientist,DAZN,Hyderabad,1-6 Yrs,,algorithms | python | data analysis | natural language processing | bi | predictive | power bi | problem solving,,Few hours ago,https://www.naukri.com/job-listings-data-scientist-dazn-group-hyderabad-1-to-6-years-030626501532,2026-06-03T20:31:05.378889
3f508f7c7418,Data Scientist -Pan India-   13th May (Wed) - Virtual Interview,Tata Consultancy Services,"Hyderabad, India, Delhi / NCR",5-10 Yrs,,Data Science | Natural Language Processing | Machine Learning | Deep Learning | Python | Data | Science | Interviewing,,1 day ago,https://www.naukri.com/job-listings-data-scientist-pan-india-13th-may-wed-virtual-interview-tata-consultancy-services-hyderabad-delhi-ncr-india-5-to-10-years-110526013627,2026-06-03T20:31:05.380886
31dc9720c24e,Data Scientist,Globant,"Hybrid - Hyderabad, Pune, Bengaluru",5-9 Yrs,,GCP | Vertex Ai | Retrieval Augmented Generation | Python | Artificial Intelligence | Natural Language Processing | Machine Learning | Process,,1 day ago,https://www.naukri.com/job-listings-data-scientist-globant-hyderabad-pune-bengaluru-5-to-9-years-020626026583,2026-06-03T20:31:05.381887
b0a943aa0b84,Hiring Data scientist,Ascendion Engineering,"Hybrid - Hyderabad, Pune, Bengaluru",3-7 Yrs,,Data Science | Vertex | Python | Gcp Bigquery | Science | GCP | Bigquery | Data,,Few hours ago,https://www.naukri.com/job-listings-hiring-data-scientist-ascendion-engineering-hyderabad-pune-bengaluru-3-to-7-years-030626026567,2026-06-03T20:31:05.383896
ffb89dc151fd,Data Scientist,Cloudxtreme,"Hybrid - Hyderabad, Chennai, Bengaluru",7-12 Yrs,,Data Science | Pyspark | Machine Learning | Data | Science | Machine,,Today,https://www.naukri.com/job-listings-data-scientist-cloudxtreme-hyderabad-chennai-bengaluru-7-to-12-years-030626009418,2026-06-03T20:31:05.384894
b8722d4e39d5,Data Scientist GenAI,Affine Analytics,"Hybrid - Hyderabad, Bengaluru, Delhi / NCR",5-10 Yrs,,Agentic Ai | RAG | Retrieval Augmented Generation | Machine Learning | Python | Generation | Machine | Data,,2 days ago,https://www.naukri.com/job-listings-data-scientist-genai-affine-analytics-hyderabad-bengaluru-delhi-ncr-5-to-10-years-010626028731,2026-06-03T20:31:05.385894
f03bbe22567d,Data Scientist - DAZN - F2F Interview - 5th and 6th June,DAZN,Hyderabad,3-8 Yrs,,Tensorflow | Machine Learning | Deep Learning | Scikit-Learn | Cnn | Artificial Intelligence | Numpy | SQL,,1 day ago,https://www.naukri.com/job-listings-data-scientist-dazn-f2f-interview-5th-and-6th-june-dazn-hyderabad-3-to-8-years-020626006598,2026-06-03T20:31:05.389878
53353bf9d2e7,Data Scientist-Artificial Intelligence,IBM,Hyderabad,5-7 Yrs,,data scientist | kubernetes | python | github | natural language processing | ai | react | bootstrap,,5 days ago,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-hyderabad-5-to-7-years-290526914742,2026-06-03T20:31:05.391879
ffefd30206a6,Data Scientist,Axtria,"Hyderabad, Delhi / NCR, Bengaluru",4-10 Yrs,,Model Building | Deploying Models | Model Monitoring | Machine Learning | Python | Monitoring | Machine | Building,,5 days ago,https://www.naukri.com/job-listings-data-scientist-axtria-hyderabad-delhi-ncr-bengaluru-4-to-10-years-290526023406,2026-06-03T20:31:05.394640
50821ce7a999,Data Scientist,Optum,Hyderabad,6-11 Yrs,,data scientist | Ai | Angular | Back End | Kanban | Front End | Javascript | Agile,,5 days ago,https://www.naukri.com/job-listings-data-scientist-optum-global-solutions-india-private-limited-hyderabad-6-to-11-years-290526920493,2026-06-03T20:31:05.395648
beb1f18d72ca,Data Scientist,Leading Client,"Hyderabad, Noida, Bengaluru",4-9 Yrs,,Data Science | PyTorch | NLP | MLOps | Feature Engineering | Deep Learning | Python | ML,,1 week ago,https://www.naukri.com/job-listings-data-scientist-talent-corner-hr-services-pvt-ltd-noida-hyderabad-bengaluru-4-to-9-years-270526911502,2026-06-03T20:31:05.397655
c785a26210f7,Walk-in || Data Scientist,Tata Consultancy Services,,,,Data Science | Machine Learning | Python | Machine | Science | Data,,5 days ago,https://www.naukri.com/job-listings-data-scientist-tata-consultancy-services-hyderabad-5-to-10-years-290526008521,2026-06-03T20:31:05.398656
4f111853a021,Data Scientist - Senior,Cummins,Pune,6-11 Yrs,,Computer science | Analytical | Machine learning | Agile | Manager Quality Control | Data mining | Licensing | Analytics,,3+ weeks ago,https://www.naukri.com/job-listings-data-scientist-senior-cummins-inc-pune-6-to-11-years-280426502626,2026-06-03T20:31:23.448901
e6981de7a66d,Senior Data Scientist/ Data Scientist,Fractal Analytics,"Pune, Mumbai, Chennai, Gurugram, Bengaluru",5-10 Yrs,,RCA | Software design | Version control | Coding | Machine learning | Data structures | Project delivery | Monitoring,,3+ weeks ago,https://www.naukri.com/job-listings-senior-data-scientist-data-scientist-fractal-analytics-ltd-mumbai-pune-chennai-gurugram-bengaluru-5-to-10-years-060225508191,2026-06-03T20:31:23.450899
41cc2bee1f93,Data Scientist,Scry Analytics,Pune,3-8 Yrs,,Computer science | deep learning | advanced analytics | data science | Analytical | Machine learning | Cloud | model development,,3+ weeks ago,https://www.naukri.com/job-listings-data-scientist-scry-analytics-pune-3-to-8-years-060326504689,2026-06-03T20:31:23.489574
25a56d65814e,Data Scientist,Mindteck,Hybrid - Pune,3-8 Yrs,,Data Science | Generative Ai | RAG | Machine Learning | agentic AI | LLM | Retrieval Augmented Generation | Generation,,Today,https://www.naukri.com/job-listings-data-scientist-mindteck-pune-3-to-8-years-030626011108,2026-06-03T20:31:23.492574
fde1943bc44a,Data Scientist,Solytics Partners,Hybrid - Pune,3-6 Yrs,,Data Science | python | Natural Language Processing | Statistical Modeling | Machine Learning | Generative Ai | SQL | Statistics,,2 days ago,https://www.naukri.com/job-listings-data-scientist-solytics-partners-pune-3-to-6-years-070526022689,2026-06-03T20:31:23.494576
9be753d6d778,Data Scientist,Eksource Technologies,Hybrid - Pune(Kalyani Nagar),1-5 Yrs,,Data Science | Artificial Intelligence | Natural Language Processing | Machine Learning | Deep Learning | Software Engineering,,1 day ago,https://www.naukri.com/job-listings-data-scientist-eksource-technologies-pune-1-to-5-years-290526008836,2026-06-03T20:31:23.498575
878405df9ee4,Data Scientist,Ascendion Engineering,"Hybrid - Pune, Chennai, Bengaluru",3-6 Yrs,,Data Science | GCP | Vertex Ai | Bigquery | Python | US Pharma | Langchain | Langgraph,,Just now,https://www.naukri.com/job-listings-data-scientist-ascendion-engineering-pune-chennai-bengaluru-3-to-6-years-300426016620,2026-06-03T20:31:23.501574
3c1d64fe5643,Data Scientist-Gen AI,Leading IT Service and Consulting Organization,"Hybrid - Pune, Chennai, Bengaluru",5-10 Yrs,,Artificial Intelligence | Machine Learning | Deep Learning | Generative Artificial Intelligence | Python | Tensorflow | Natural Language Processing | Scikit-Learn,,Today,https://www.naukri.com/job-listings-data-scientist-gen-ai-anlage-infotech-pune-chennai-bengaluru-5-to-10-years-030626010224,2026-06-03T20:31:23.503574
25b4e0d59a2c,AI AND DATA Scientist Engineer,Coreehs,"Pune, Surat",2-7 Yrs,,Object Detection | Image Processing | Computer Vision | Processing | Process | Artificial Intelligence | Object | Computer,,1 week ago,https://www.naukri.com/job-listings-ai-and-data-scientist-engineer-coreehs-pune-surat-2-to-7-years-200625026182,2026-06-03T20:31:23.506573
7b556420bf79,Data Scientist / Data Science Engineer,Ample Softech System,"Pune, Bhubaneswar, Nagpur",0-5 Yrs,,Power Bi | Data Analysis | Data Visualization | Data Modeling | SQL | Data Science | Modeling | Science,,1 week ago,https://www.naukri.com/job-listings-data-scientist-data-science-engineer-ample-softech-system-bhubaneswar-nagpur-pune-0-to-5-years-220526033625,2026-06-03T20:31:23.510581
dc934c0c8515,Data Scientist,ANTI-Ai PRIVATE LIMITED,Pune,3-6 Yrs,,time series analysis | algorithms | python | data analysis | modeling | scikit-learn | bi | power bi,,2 days ago,https://www.naukri.com/job-listings-data-scientist-anti-ai-private-limited-pune-3-to-6-years-010626501499,2026-06-03T20:31:23.516575
ac8df5f2f01a,Walk-in || Data Scientist,Tata Consultancy Services,,,,Predictive Modeling | Data Science | Machine Learning | Modeling | Machine | Science | Data | Predictive,,5 days ago,https://www.naukri.com/job-listings-data-scientist-tata-consultancy-services-pune-6-to-11-years-290526003806,2026-06-03T20:31:23.518909
7ee43dfda47d,Data Scientist-Artificial Intelligence,IBM,Pune,6-8 Yrs,,data scientist | kubernetes | python | github | natural language processing | ai | react | bootstrap,,2 days ago,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-pune-6-to-8-years-010626912079,2026-06-03T20:31:23.522575
9bb54fdeca2e,Data Scientist - NLP Focussed,Siemens,Pune,5-10 Yrs,,Data Scientist | Azure | Use Cases | Natural Language Processing | Ai | Data Mining | Data Cleansing | Forecasting,,2 days ago,https://www.naukri.com/job-listings-data-scientist-nlp-focussed-siemens-limited-pune-5-to-10-years-010626921919,2026-06-03T20:31:23.525583
e964c17af917,Data Scientist,Globant,Remote,5-10 Yrs,,Artificial Intelligence | Nextgen | Dialogflow | EDK | Data | Intelligence,,1 day ago,https://www.naukri.com/job-listings-data-scientist-globant-pune-5-to-10-years-020626016640,2026-06-03T20:31:23.529011
1dab2240ee83,Data Scientist,Leading Client,Pune,5-10 Yrs,,Data Scientist | Azure | Api Development | Apis | Ai | User Experience | Programming | Data Extraction,,5 days ago,https://www.naukri.com/job-listings-data-scientist-tekskills-india-private-limited-pune-5-to-10-years-290526914918,2026-06-03T20:31:23.530574
b4b332520d3a,Data Scientist,Birlasoft,Pune,10-15 Yrs,,Computer science | deep learning | continuous integration | data science | GCP | Machine learning | Technical architecture | big data,,5 days ago,https://www.naukri.com/job-listings-data-scientist-birlasoft-india-limited-pune-10-to-15-years-290526505163,2026-06-03T20:31:23.532575
f301803124f8,Data Analyst,Capgemini,"Hybrid - Mumbai (All Areas), Chennai, Delhi / NCR",4-9 Yrs,,Power Bi | Data Analysis | Data Visualization | Tableau | Data Analytics | SQL | Analytics | Analysis,,1 week ago,https://www.naukri.com/job-listings-data-analyst-capgemini-chennai-delhi-ncr-mumbai-all-areas-4-to-9-years-021225014173,2026-06-03T20:31:36.782892
604439db12d6,"Lead Data Scientist, India - BCG X",Boston Consulting Group,Mumbai,13-20 Yrs,,Data analysis | Operations research | Business transformation | Data management | Business analytics | Analytical | Consulting | SPSS,,3+ weeks ago,https://www.naukri.com/job-listings-lead-data-scientist-india-bcg-x-boston-consulting-group-mumbai-13-to-20-years-280126500960,2026-06-03T20:31:36.785274
7ee5fcc1c2e9,Payments - Analytics & Reporting- Data Scientist Associate,JPMorgan Chase Bank,Mumbai,4-9 Yrs,,Data analysis | Business analytics | SMB | Product sales | Account management | data visualization | Operations | SQL,,3+ weeks ago,https://www.naukri.com/job-listings-payments-analytics-reporting-data-scientist-associate-jp-morgan-and-chase-mumbai-4-to-9-years-190226505064,2026-06-03T20:31:36.815611
26467d014244,Senior Data Scientist,Mastercard,Mumbai,5-7 Yrs,,Computer science | Statistical modeling | Information security | Analytical | risk modeling | Machine learning | Information technology | Corporate security,,3+ weeks ago,https://www.naukri.com/job-listings-senior-data-scientist-mastercard-mumbai-5-to-7-years-080426504887,2026-06-03T20:31:36.817611
b9178cbea385,GCP Data Engineer (Lead),Blue Star,Mumbai,8-11 Yrs,,cdc | cloud spanner | microsoft azure | elt | big data | data engineering | sql | Cloud,,3+ weeks ago,https://www.naukri.com/job-listings-gcp-data-engineer-lead-blue-star-ltd-mumbai-8-to-11-years-110326501427,2026-06-03T20:31:36.821254
7030b43b83b1,Pyspark -Palantir Core- Data Engineer,Tata Consultancy Services,"Mumbai (All Areas), Pune, Bengaluru",6-10 Yrs,,Pyspark | Data Engineering | AWS | SQL | Snowflake | Data Bricks | Python | Bricks,,3+ weeks ago,https://www.naukri.com/job-listings-pyspark-palantir-core-data-engineer-tata-consultancy-services-pune-bengaluru-mumbai-all-areas-6-to-10-years-090326005611,2026-06-03T20:31:36.822254
1551e2107356,Senior Snowflake Data Engineer role,Saint Gobain,Mumbai,6-10 Yrs,,Snowflake | SQL | Azure | Data Warehousing | AWS | Python | Data | Warehouse,,Today,https://www.naukri.com/job-listings-senior-snowflake-data-engineer-role-saint-gobain-mumbai-6-to-10-years-150426015821,2026-06-03T20:31:36.827261
d618630a0c1f,Data Scientist,Celebal Technologies,"Mumbai (All Areas), Bengaluru",3-8 Yrs,,Time Series | Demand Forecasting | Machine Learning | Agentic Ai | Generative Ai | Xgboost | Arima | K-Means,,2 days ago,https://www.naukri.com/job-listings-data-scientist-celebal-technologies-bengaluru-mumbai-all-areas-3-to-8-years-300426024055,2026-06-03T20:31:36.829261
f715a7070189,Data-scientist - Machine Learning & AI,Hdfc Bank,"Mumbai (All Areas), Gurugram, Delhi / NCR",7-12 Yrs,,GenAI | Graph | Machine Learning | Pytorch | Tensorflow | NLP | Neo4J | Machine Learning Algorithms,,2 days ago,https://www.naukri.com/job-listings-data-scientist-machine-learning-ai-hdfc-bank-gurugram-delhi-ncr-mumbai-all-areas-7-to-12-years-010626012906,2026-06-03T20:31:36.831252
0388be9f0224,Data Scientist,Ganit Business Solutions,"Mumbai, Bengaluru",5-8 Yrs,,Gen AI | Data Science | Python | Gen | Data | Artificial Intelligence | Science,,6 days ago,https://www.naukri.com/job-listings-data-scientist-ganit-business-solutions-mumbai-bengaluru-5-to-8-years-280526022010,2026-06-03T20:31:36.833822
ad0dd1b6380c,Data Scientist,ICICI Lombard,Mumbai,1-6 Yrs,,Generative Ai | Large Language Model | Retrieval Augmented Generation | Machine Learning | Python | Artificial Intelligence | Data | Intelligence,,5 days ago,https://www.naukri.com/job-listings-data-scientist-icici-lombard-mumbai-1-to-6-years-290526022762,2026-06-03T20:31:36.836986
a6e6d4447bd7,Data Scientist AIML,Tata Consultancy Services,"Mumbai, Hyderabad, Gurugram",5-10 Yrs,,Artificial Intelligence | Machine Learning | Predictive Modeling | Advanced Analytics | Statistical Modeling | Python | Predictive Analytics | Ml,,1 week ago,https://www.naukri.com/job-listings-data-scientist-aiml-tata-consultancy-services-mumbai-hyderabad-gurugram-5-to-10-years-260526038475,2026-06-03T20:31:36.842049
1a29757331d1,AMEA Data Scientist (o9 Demand planning),Mondelez,Mumbai,6-11 Yrs,,Supply chain | Data analysis | data science | GCP | Analytical | Machine learning | Integration testing | Packaging,,6 days ago,https://www.naukri.com/job-listings-amea-data-scientist-o9-demand-planning-mondelez-international-mumbai-6-to-11-years-280526503557,2026-06-03T20:31:36.843049
f9b307e35a56,Data Scientist,Razorthink,"Mumbai, Delhi / NCR, Bengaluru",3-5 Yrs,,Data Science | Python | R | Data Scientist | data mining | Pandas | Scikit-learn | statistical analysis,,1 week ago,https://www.naukri.com/job-listings-data-scientist-razorthink-mumbai-delhi-ncr-bengaluru-3-to-5-years-220526919366,2026-06-03T20:31:36.845048
308d0b6471a9,Sr. Machine learning /Data Scientist,Version 1,Mumbai,5-9 Yrs,,Data Scientist | Coaching | Red Hat | Debugging | Employee Wellbeing | Feature Engineering | Ai | Regression,,2 days ago,https://www.naukri.com/job-listings-sr-machine-learning-data-scientist-version-1-services-private-limited-mumbai-5-to-9-years-010626922702,2026-06-03T20:31:36.846048
fd3b9f2c029f,Excellent opportunity For Data Scientist,Kiya.ai,"Mumbai, Navi Mumbai, Mumbai (All Areas)",3-8 Yrs,,Data Science | Generative Ai | Python | Science | Data | Artificial Intelligence,,5 days ago,https://www.naukri.com/job-listings-excellent-opportunity-for-data-scientist-kiya-ai-mumbai-navi-mumbai-mumbai-all-areas-3-to-8-years-290526001657,2026-06-03T20:31:36.847048
9aded0d2173d,Data Scientist,Capgemini,"Hybrid - Mumbai (All Areas), Pune, Bengaluru",6-8 Yrs,,Generative Ai | GCP | Bigquery | Python | Machine Learning | Data | Artificial Intelligence | Machine,,1 week ago,https://www.naukri.com/job-listings-data-scientist-capgemini-pune-bengaluru-mumbai-all-areas-6-to-8-years-260526013604,2026-06-03T20:31:36.850049
59e41e4b4243,Data Scientist,Tata Consultancy Services,"Mumbai (All Areas), Chennai, Bengaluru",5-10 Yrs,,Data Science | Generative Ai | Typescript | Aiml | Microservices | DeepEval | Python | Data,,3 days ago,https://www.naukri.com/job-listings-data-scientist-tata-consultancy-services-chennai-bengaluru-mumbai-all-areas-5-to-10-years-310526002811,2026-06-03T20:31:36.853050
8dcaa6385c21,Data Scientist/Technical Analyst,Maruti Suzuki,Gurugram,4-9 Yrs,,Computer vision | deep learning | Simulation | Neural networks | Machine learning | Hypothesis Testing | Telematics | Data analytics,,3+ weeks ago,https://www.naukri.com/job-listings-data-scientist-technical-analyst-maruti-suzuki-india-limited-gurugram-4-to-9-years-110825500383,2026-06-03T20:31:49.150727
3019c7a3f3c1,Data Scientist (Machine Learning),Snapdeal,Gurugram,3-7 Yrs,,image processing | algorithms | python | modeling | natural language processing | neural networks | predictive | machine learning,,3+ weeks ago,https://www.naukri.com/job-listings-data-scientist-machine-learning-jasper-infotech-pvt-ltd-gurugram-3-to-7-years-221025507694,2026-06-03T20:31:49.154079
f67417b97f92,Data Scientist,PayU,Gurugram,0-3 Yrs,,Usage | Statistical analysis | Analytical | Focus | Programming | Data mining | Business understanding | Analytics,,3+ weeks ago,https://www.naukri.com/job-listings-data-scientist-payu-india-gurugram-0-to-3-years-300326502718,2026-06-03T20:31:49.178864
c9e401e4c874,Data Scientist,EXL,"Hybrid - Gurugram, Bengaluru",5-8 Yrs,,Generative Ai | Artificial Intelligence | Python | SQL | Data Science | Science | Intelligence | Data,,3+ weeks ago,https://www.naukri.com/job-listings-data-scientist-exl-gurugram-bengaluru-5-to-8-years-031125016780,2026-06-03T20:31:49.180859
014d9c13f984,Data Scientist,Maruti Suzuki,Gurugram,4-7 Yrs,,Cloud computing | Data analysis | Machine learning | Data processing | Telematics | Engineering Design | data visualization | Automotive,,3+ weeks ago,https://www.naukri.com/job-listings-data-scientist-maruti-suzuki-india-limited-gurugram-4-to-7-years-211125502674,2026-06-03T20:31:49.181859
